A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
9.8512545,10.779106,9.889891,6.826858,13.758548,12.662803,12.638483,10.4301155,9.059294,11.1659005,11.493739
0.0839045,0.037499,0.126773,0.0473745,0.039372,0.0306885,0,0.1100465,0.0318835,0.028823,0.106314
9.5657595,10.912357,12.0498265,8.873071,10.491391,9.775835,11.9229955,10.6288075,11.6401625,10.6317135,11.330249
1.846203,2.297032,1.8348495,1.924978,2.179105,2.148331,2.2211595,1.781825,1.741938,2.102783,1.748239
0.609739,0.810846,0.625049,0.7371025,0.7859335,0.8042825,0.9150975,0.7153955,0.628813,0.8923685,0.7330855
1.332916,1.6903225,0.9644505,1.077249,2.404122,1.586986,1.3593635,2.140175,1.64206,1.739128,1.5467965
2.580587,1.906845,1.510082,2.29139,4.795865,1.3616355,1.6342075,3.2988285,1.921671,3.678401,5.661454
6.430307,6.7975545,6.3723085,5.5841905,7.664308,6.3610735,6.991962,6.6261705,6.0252785,6.3683285,7.993473
2.763203,2.322745,2.370826,1.806142,2.5179615,2.3271095,2.4809295,2.43987,2.1642755,2.0832275,1.950576
9.9769445,8.953727,8.1182275,8.9193495,8.413858,10.3487245,7.901878,8.2598775,7.065808,9.345748,7.74201
2.0819575,2.0956295,1.7226435,2.676847,1.631594,2.351252,1.699163,1.618468,2.279721,1.306061,1.901296
3.0584325,2.5182895,2.687995,3.273532,2.2968845,2.733551,2.51138,2.386811,2.247894,1.987972,2.513683
3.061657,3.912237,3.204056,3.944551,3.733844,4.427381,3.944371,3.9777495,3.918052,5.3379865,3.9681605
2.9855955,3.272064,3.2661485,2.372707,3.1393925,3.296546,3.313504,3.187554,2.4164105,1.849652,2.869367
6.825421,6.613687,6.173714,9.012142,6.6484285,6.8759305,5.409626,7.261334,7.7729405,12.2076215,6.264676
0.00635,0.0055575,0.0103195,0,0.006324,0.0197765,0.0045795,0.0033405,0,0,0.003975
12.752661,12.635895,12.9624465,11.7489975,10.2208835,13.6061725,12.134628,11.6966145,9.0061765,11.002819,11.1691145
27.460186,30.69439,31.7614025,22.914722,30.6497335,29.8872435,33.900885,25.0236565,25.4452305,19.4413675,32.497415
2.4416415,2.6056865,2.48473,2.3709695,2.280014,2.878603,2.6072255,2.6105415,2.1868795,2.791644,2.6562755
0.912427,1.3600095,1.2708975,1.296158,1.1130335,1.6600165,1.308798,1.326666,1.064399,1.666482,1.19373
0.022377,0.011704,0.0166,0.025475,0.0243155,0.024539,0.0287105,0.0206395,0.0302195,0.027182,0.021983
27.7935515,30.09997,29.1794945,30.13982,38.85842,29.713501,28.555329,35.2258105,43.5326515,37.6846625,32.0390985
7.154067,7.211598,6.900773,5.795627,9.00255,7.6356705,7.2295635,7.575198,6.586248,6.497389,7.792172
0,0,0,0,0,0,0,0,0,0,0
2.624916,1.984593,1.4123745,1.5495275,1.223743,0.893684,1.702803,1.908269,2.7028695,7.780729,1.5162125
0,0.0045235,0,0.004994,0,0,0,0.0012355,0,0,0
0.1403105,0.201543,0.153986,0.194274,0.230797,0.1913115,0.225002,0.185367,0.111299,0.161335,0.152998
5.206783,3.697601,3.8563805,4.4614685,2.6591105,3.165171,3.07191,3.879566,3.159822,4.5945475,3.1598265
2.8336095,2.906827,2.8827365,3.247571,3.457158,2.835102,2.844984,2.7383335,3.4996775,3.4836145,2.8534065
84.075953,91.121946,88.1603755,91.2793915,82.606506,86.9547285,80.1198375,79.82287,85.1939405,72.9809805,91.864966
8.6672315,10.351184,10.412078,7.9196705,9.2503065,9.0497375,9.7682085,9.3062445,9.322574,9.634583,9.886357
1.0743865,1.059581,0.7515995,0.8388915,1.8080485,0.833044,0.9322345,1.7282,1.25114,1.269846,1.3037625
8.4469935,9.2914275,7.940608,8.496346,8.395669,8.8439905,9.8922515,8.7919635,8.4447465,8.6180665,9.7178235
5.4328215,4.9975635,4.5974775,7.862413,3.7683695,4.368661,6.328757,4.409705,4.3033555,5.145679,4.925234
3.3334815,3.075747,4.504276,4.922886,8.208381,5.009759,2.541129,4.6649125,3.6950475,6.258672,4.312942
6.6145905,5.729813,6.435496,6.9608045,4.72362,5.608269,5.557994,5.191707,7.1318245,6.625803,5.336201
31.680315,32.499762,29.594463,36.277217,32.9927325,30.4129025,32.587478,31.7768565,43.291847,28.3870435,37.492657
10.062621,6.1944865,8.815988,9.068445,5.2380035,5.9096255,6.211155,8.068109,7.190684,8.492825,5.934685
0.6206355,0.705717,0.475019,0.406565,1.1118575,0.7665115,0.680149,1.034596,0.5952115,0.762077,0.740368
1.2770305,1.2540175,1.285271,1.0039085,1.8210335,1.388163,1.3819525,1.6200055,0.978,1.4133595,1.5424945
1.8199345,2.0232975,1.8567075,1.433096,3.1155135,2.4843235,2.266785,2.169549,1.554126,1.738147,2.387374
2.2513075,2.6639095,2.4219835,2.293436,2.623555,2.8074715,2.9092005,2.758396,2.504081,3.0844405,2.6954855
8.3662905,9.3677165,8.366685,9.465545,8.756513,10.025539,9.607634,9.958335,9.1763275,11.234165,9.724185
3.862498,3.9640365,3.867121,3.522783,3.038925,3.7005095,3.679047,3.3776915,2.790229,2.644944,3.2410355
0.262182,0.221756,0.2607665,0.3425975,0.672653,0.315246,0.2745125,0.374317,0.1795315,0.425702,0.6054405
102.522029,112.4259495,103.5374845,106.7546195,112.3298915,98.9324065,113.3156245,101.226224,136.408083,121.6320085,110.2409245
13.601856,13.4111995,14.273598,15.2632865,12.659471,14.811727,12.3034655,14.251794,13.5238905,13.028061,13.757506
39.7897215,42.7249615,38.2254445,35.4503065,41.2911865,36.78793,40.7583155,38.5720395,42.976038,42.9067385,41.101062
17.653054,12.674101,15.4048845,21.9610845,13.7334495,13.825132,13.1420755,14.8487155,15.3989285,16.7800545,14.03575
3.7926645,4.5399345,3.756324,3.2717375,5.2821625,4.779154,4.4153715,5.3613395,4.227301,5.935321,4.7682545
0.5039725,0.8624305,0.6352435,0.3833205,0.80078,1.995102,1.03724,0.518747,0.367321,0.373913,0.80149
