Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Cellular Components,20,GO:0098552,side of membrane,,-16,5.2,12,30238,737,310,39,13,1.9,482|945|953|972|1003|1837|2152|2262|2787|3105|3117|3122|3127|3133|3416|3560|3597|3685|3688|3791|3822|3953|5156|5243|6338|7037|7099|9429|9619|9630|10859|23308|55970|57477|57488|114908|135228|161198|283316,ATP1B2|CD33|ENTPD1|CD74|CDH5|DTNA|F3|GPC5|GNG5|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|IDE|IL2RB|IL13RA1|ITGAV|ITGB1|KDR|KLRC2|LEPR|PDGFRA|ABCB1|SCNN1B|TFRC|TLR4|ABCG2|ABCG1|GNA14|LILRB1|ICOSLG|GNG12|SHROOM4|ESYT2|TMEM123|CD109|CLEC14A|CD163L1,-12,GenesID
GO Cellular Components,20,GO:0009897,external side of plasma membrane,,-15,6.9,12,30238,394,310,28,9,1.6,482|945|953|972|1003|2152|3105|3133|3416|3560|3597|3685|3688|3791|3822|3953|5156|5243|6338|7037|7099|9429|9619|10859|23308|114908|161198|283316,ATP1B2|CD33|ENTPD1|CD74|CDH5|F3|HLA-A|HLA-E|IDE|IL2RB|IL13RA1|ITGAV|ITGB1|KDR|KLRC2|LEPR|PDGFRA|ABCB1|SCNN1B|TFRC|TLR4|ABCG2|ABCG1|LILRB1|ICOSLG|TMEM123|CLEC14A|CD163L1,-11,GenesID
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-15,5,11,30238,705,310,36,12,1.8,285|639|1003|1317|1436|1906|2004|2034|2321|2624|2908|3397|3685|3688|3791|3953|4088|4734|5156|5420|5787|6662|6663|6886|6926|8323|10203|30812|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|CSF1R|EDN1|ELK3|EPAS1|FLT1|GATA2|NR3C1|ID1|ITGAV|ITGB1|KDR|LEPR|SMAD3|NEDD4|PDGFRA|PODXL|PTPRB|SOX9|SOX10|TAL1|TBX3|FZD6|CALCRL|SOX8|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-11,GenesID
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-13,5.9,11,30238,445,310,27,8.7,1.6,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-9,GenesID
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-13,5,10,30238,606,310,31,10,1.7,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-9,GenesID
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-13,4.4,9.8,30238,776,310,35,11,1.8,678|718|953|972|1380|1608|1906|3105|3133|3688|3953|4064|4088|4734|5156|5327|6338|7096|7099|8323|8809|9452|9976|10461|10859|23303|23308|51176|54440|54518|57580|64805|81704|221395|441478,ZFP36L2|C3|ENTPD1|CD74|CR2|DGKG|EDN1|HLA-A|HLA-E|ITGB1|LEPR|CD180|SMAD3|NEDD4|PDGFRA|PLAT|SCNN1B|TLR1|TLR4|FZD6|IL18R1|ITM2A|CLEC2B|MERTK|LILRB1|KIF13B|ICOSLG|LEF1|SASH3|APBB1IP|PREX1|P2RY12|DOCK8|ADGRF5|NRARP,-9,GenesID
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-12,6.7,11,30238,352,310,24,7.7,1.5,285|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|5156|5787|6886|10203|30844|51176|79602|81575|113026|161198|441478,ANGPT2|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|PDGFRA|PTPRB|TAL1|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|NRARP,-9,GenesID
GO Cellular Components,20,GO:0043235,receptor complex,,-12,5.2,10,30238,545,310,29,9.4,1.7,972|1380|1436|2065|2321|3455|3560|3597|3655|3685|3688|3791|3822|3953|4088|5156|5787|7037|7096|7099|7133|8809|9283|10203|10461|51284|54518|81793|115207,CD74|CR2|CSF1R|ERBB3|FLT1|IFNAR2|IL2RB|IL13RA1|ITGA6|ITGAV|ITGB1|KDR|KLRC2|LEPR|SMAD3|PDGFRA|PTPRB|TFRC|TLR1|TLR4|TNFRSF1B|IL18R1|GPR37L1|CALCRL|MERTK|TLR7|APBB1IP|TLR10|KCTD12,-8.8,GenesID
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-12,4.8,9.8,30238,634,310,31,10,1.7,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-8.7,GenesID
GO Biological Processes,19,GO:0030097,hemopoiesis,19_GO:0032502 developmental process,-12,4.5,9.6,30238,721,310,33,11,1.8,678|972|1380|1436|2034|2122|2235|2624|2908|3059|3071|3688|3791|3953|5156|5978|6005|6886|7037|7099|8809|9452|10461|10859|23308|51176|54440|57045|57580|122618|135228|221395|441478,ZFP36L2|CD74|CR2|CSF1R|EPAS1|MECOM|FECH|GATA2|NR3C1|HCLS1|NCKAP1L|ITGB1|KDR|LEPR|PDGFRA|REST|RHAG|TAL1|TFRC|TLR4|IL18R1|ITM2A|MERTK|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|PREX1|PLD4|CD109|ADGRF5|NRARP,-8.7,GenesID
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-12,4.9,9.7,30238,603,310,30,9.7,1.7,639|678|945|972|3071|3105|3117|3122|3127|3133|3635|3822|3965|5074|5791|6541|7037|7099|7133|10461|10859|23308|51176|54440|57045|64092|64115|81704|221395|441478,PRDM1|ZFP36L2|CD33|CD74|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|INPP5D|KLRC2|LGALS9|PAWR|PTPRE|SLC7A1|TFRC|TLR4|TNFRSF1B|MERTK|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|SAMSN1|VSIR|DOCK8|ADGRF5|NRARP,-8.6,GenesID
