_MEMBER_GenesID,_LogP_GenesID,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-16.263170091645588,GO:0098552,M1,1,0,GO Cellular Components,20,side of membrane,,-16.263170091645588,5.161649231846631,11.641051135616998,30238,737,310,39,12.580645161290322,1.8835380944063194,482|945|953|972|1003|1837|2152|2262|2787|3105|3117|3122|3127|3133|3416|3560|3597|3685|3688|3791|3822|3953|5156|5243|6338|7037|7099|9429|9619|9630|10859|23308|55970|57477|57488|114908|135228|161198|283316,ATP1B2|CD33|ENTPD1|CD74|CDH5|DTNA|F3|GPC5|GNG5|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|IDE|IL2RB|IL13RA1|ITGAV|ITGB1|KDR|KLRC2|LEPR|PDGFRA|ABCB1|SCNN1B|TFRC|TLR4|ABCG2|ABCG1|GNA14|LILRB1|ICOSLG|GNG12|SHROOM4|ESYT2|TMEM123|CD109|CLEC14A|CD163L1,-11.9218938809239,0,1,1,1,-16.263170091645588,6.931914196823318,
1,-14.91928714836203,GO:0009897,M1,1,0,GO Cellular Components,20,external side of plasma membrane,,-14.91928714836203,6.931914196823318,12.062179999826736,30238,394,310,28,9.03225806451613,1.6280248479394823,482|945|953|972|1003|2152|3105|3133|3416|3560|3597|3685|3688|3791|3822|3953|5156|5243|6338|7037|7099|9429|9619|10859|23308|114908|161198|283316,ATP1B2|CD33|ENTPD1|CD74|CDH5|F3|HLA-A|HLA-E|IDE|IL2RB|IL13RA1|ITGAV|ITGB1|KDR|KLRC2|LEPR|PDGFRA|ABCB1|SCNN1B|TFRC|TLR4|ABCG2|ABCG1|LILRB1|ICOSLG|TMEM123|CLEC14A|CD163L1,-10.879040933304324,0,1,0,0,-16.263170091645588,6.931914196823318,
1,-14.548456022370651,GO:0035239,M1,1,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-14.548456022370651,4.980864790665752,10.885028041399986,30238,705,310,36,11.612903225806452,1.8196337820567787,285|639|1003|1317|1436|1906|2004|2034|2321|2624|2908|3397|3685|3688|3791|3953|4088|4734|5156|5420|5787|6662|6663|6886|6926|8323|10203|30812|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|CSF1R|EDN1|ELK3|EPAS1|FLT1|GATA2|NR3C1|ID1|ITGAV|ITGB1|KDR|LEPR|SMAD3|NEDD4|PDGFRA|PODXL|PTPRB|SOX9|SOX10|TAL1|TBX3|FZD6|CALCRL|SOX8|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-10.684301066368626,0,2,1,1,-14.548456022370651,6.650586510263929,
1,-12.7441972232678,GO:0048514,M1,1,0,GO Biological Processes,19,blood vessel morphogenesis,19_GO:0032502 developmental process,-12.7441972232678,5.918274737223632,10.637682439759033,30238,445,310,27,8.709677419354838,1.6015207099728122,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-9.010993334082933,0,2,0,0,-14.548456022370651,6.650586510263929,
1,-12.461263663140329,GO:0001525,M1,1,0,GO Biological Processes,19,angiogenesis,19_GO:0032502 developmental process,-12.461263663140329,6.650586510263929,10.852812834234996,30238,352,310,24,7.741935483870968,1.5179102605871437,285|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|5156|5787|6886|10203|30844|51176|79602|81575|113026|161198|441478,ANGPT2|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|PDGFRA|PTPRB|TAL1|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|NRARP,-8.965085492432898,0,2,0,0,-14.548456022370651,6.650586510263929,
1,-11.547759470653455,GO:0001568,M1,1,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-11.547759470653455,5.05772998805257,9.68339777772986,30238,540,310,28,9.03225806451613,1.6280248479394823,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|6926|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|TBX3|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-8.352611295610005,0,2,0,0,-14.548456022370651,6.650586510263929,
1,-11.082803751972033,GO:0001944,M1,1,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-11.082803751972033,4.833936625749359,9.362671257713675,30238,565,310,28,9.03225806451613,1.6280248479394823,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|6926|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|TBX3|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-7.917618800306027,0,2,0,0,-14.548456022370651,6.650586510263929,
1,-12.588425106978312,GO:0030335,M1,1,0,GO Biological Processes,19,positive regulation of cell migration,19_GO:0040011 locomotion,-12.588425106978312,4.9897689768976905,10.097524787292132,30238,606,310,31,10.0,1.7038855027411945,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-9.010993334082933,0,3,1,1,-12.588425106978312,10.450921658986175,
1,-12.075788499637445,GO:2000147,M1,1,0,GO Biological Processes,19,positive regulation of cell motility,19_GO:0040011 locomotion,-12.075788499637445,4.769400630914827,9.762320899888403,30238,634,310,31,10.0,1.7038855027411945,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-8.704299733114961,0,3,0,0,-12.588425106978312,10.450921658986175,
1,-11.778192858761335,GO:0040017,M1,1,0,GO Biological Processes,19,positive regulation of locomotion,19_GO:0040011 locomotion,-11.778192858761335,4.644854070660522,9.568228161082196,30238,651,310,31,10.0,1.7038855027411945,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-8.516097894087272,0,3,0,0,-12.588425106978312,10.450921658986175,
