_MEMBER_GenesID,_LogP_GenesID,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0010977,negative regulation of neuron projection development,M1,1,0
1,-7,GO:0097060,synaptic membrane,M1,1,0
1,-2.4,GO:0051098,regulation of binding,M1,1,0
1,-3,GO:0050768,negative regulation of neurogenesis,M1,1,0
1,-2,GO:0098916,anterograde trans-synaptic signaling,M1,1,0
1,-2.5,GO:0030324,lung development,M1,1,0
1,-2,GO:0060828,regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.4,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-3.2,GO:0031490,chromatin DNA binding,M1,1,0
1,-2.4,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.1,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-2.6,GO:0031345,negative regulation of cell projection organization,M1,1,0
1,-3.4,GO:0044057,regulation of system process,M1,1,0
1,-2.2,GO:0031175,neuron projection development,M1,1,0
1,-4.4,GO:0040013,negative regulation of locomotion,M1,1,0
1,-2.4,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.6,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-2.2,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",M1,1,0
1,-3.6,GO:0044297,cell body,M1,1,0
1,-2.6,GO:0051960,regulation of nervous system development,M1,1,0
1,-2,GO:1903522,regulation of blood circulation,M1,1,0
1,-2.3,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2,GO:0050770,regulation of axonogenesis,M1,1,0
1,-3.2,GO:0043025,neuronal cell body,M1,1,0
1,-2.8,GO:0010721,negative regulation of cell development,M1,1,0
1,-2.5,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.3,GO:0048858,cell projection morphogenesis,M1,1,0
1,-4.3,GO:0045211,postsynaptic membrane,M1,1,0
1,-3,GO:0099177,regulation of trans-synaptic signaling,M1,1,0
1,-2.1,GO:0051087,protein-folding chaperone binding,M1,1,0
1,-3.2,GO:0099536,synaptic signaling,M1,1,0
1,-3.4,GO:0098978,glutamatergic synapse,M1,1,0
1,-3.2,GO:0050771,negative regulation of axonogenesis,M1,1,0
1,-4.1,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-3.3,GO:0098794,postsynapse,M1,1,0
1,-2.4,GO:0008016,regulation of heart contraction,M1,1,0
1,-2.7,GO:0061564,axon development,M1,1,0
1,-3.6,GO:0098685,Schaffer collateral - CA1 synapse,M1,1,0
1,-3,GO:0050804,modulation of chemical synaptic transmission,M1,1,0
1,-3.4,GO:0099537,trans-synaptic signaling,M1,1,0
1,-2.5,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-2.7,GO:0042734,presynaptic membrane,M1,1,0
1,-3.2,GO:0098793,presynapse,M1,1,0
1,-2.2,GO:0098839,postsynaptic density membrane,M1,1,0
1,-4.6,GO:0030336,negative regulation of cell migration,M1,1,0
1,-2.2,GO:0007409,axonogenesis,M1,1,0
1,-2.2,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2.7,GO:0003779,actin binding,M1,1,0
1,-2.4,GO:0060070,canonical Wnt signaling pathway,M1,1,0
1,-2.6,GO:0120111,neuron projection cytoplasm,M1,1,0
1,-2.2,GO:0031072,heat shock protein binding,M1,1,0
1,-4.5,GO:2000146,negative regulation of cell motility,M1,1,0
1,-3.8,GO:0030424,axon,M1,1,0
1,-2,GO:0007268,chemical synaptic transmission,M1,1,0
1,-2.7,GO:0031902,late endosome membrane,M1,1,0
1,-2.5,GO:0030323,respiratory tube development,M1,1,0
1,-2.5,GO:0010596,negative regulation of endothelial cell migration,M1,1,0
1,-3,GO:0051961,negative regulation of nervous system development,M1,1,0
1,-2.3,GO:0060541,respiratory system development,M1,1,0
